,country,year_x,child_mortality_rate,gdp_per_capita,population,year_y,child_mortality,continent
148,Sierra Leone,2016,11.35,1619.0,7493918.0,2016,31139,Africa
149,Singapore,2016,0.2799999999999999,65729.0,5711936.0,2016,137,Asia
150,Slovakia,2016,0.5900000000000001,25364.0,5431205.0,2016,350,Europe
151,Slovenia,2016,0.2299999999999999,26908.0,2090020.0,2016,52,Europe
152,Solomon Islands,2016,2.58,,628110.0,2016,446,Oceania
153,Somalia,2016,13.25,,14292848.0,2016,74853,Africa
154,South Africa,2016,4.33,12139.0,56422272.0,2016,42080,Africa
155,South Korea,2016,0.34,36103.0,51309984.0,2016,1412,Asia
156,South Sudan,2016,9.07,,11066116.0,2016,36994,Africa
157,Spain,2016,0.33,30110.0,46473316.0,2016,1379,Europe
158,Sri Lanka,2016,0.94,11149.0,21425494.0,2016,2853,Asia
159,Sudan,2016,6.51,,39377168.0,2016,82240,Africa
160,Suriname,2016,2.0,,581462.0,2016,213,South America
161,Sweden,2016,0.29,44659.0,9953322.0,2016,329,Europe
162,Switzerland,2016,0.41,59662.0,8372902.0,2016,362,Europe
163,Syria,2016,1.9123,3091.0,18964252.0,2016,18600,Asia
164,Tajikistan,2016,4.3100000000000005,3991.0,8725326.0,2016,9903,Asia
165,Tanzania,2016,5.670000000000001,2660.0,54401804.0,2016,108529,Africa
166,Thailand,2016,1.22,15454.0,70607032.0,2016,7658,Asia
167,Togo,2016,7.57,1400.0,7661361.0,2016,18370,Africa
168,Tonga,2016,1.64,,105721.0,2016,32,Oceania
169,Trinidad and Tobago,2016,1.85,29178.0,1469334.0,2016,357,North America
170,Tunisia,2016,1.36,11073.0,11685666.0,2016,3557,Africa
171,Turkey,2016,1.27,17906.0,81019400.0,2016,15921,Asia
172,Turkmenistan,2016,5.1000000000000005,23813.0,5868568.0,2016,6071,Asia
173,Tuvalu,2016,2.53,,10876.0,2016,7,Oceania
174,Uganda,2016,5.300000000000001,1980.0,38748308.0,2016,81382,Africa
175,Ukraine,2016,0.91,9214.0,44833568.0,2016,4219,Europe
176,United Arab Emirates,2016,0.77,75876.0,8994266.0,2016,748,Asia
177,United Kingdom,2016,0.43,37334.0,65655204.0,2016,3481,Europe
178,United States,2016,0.65,53015.0,327210208.0,2016,26176,North America
179,Uruguay,2016,0.92,19468.0,3413768.0,2016,403,South America
180,Uzbekistan,2016,2.41,10381.0,31453576.0,2016,12577,Asia
181,Vanuatu,2016,2.76,,283239.0,2016,230,Oceania
182,Venezuela,2016,1.63,15219.0,30741464.0,2016,13424,South America
183,Vietnam,2016,2.16,6062.0,93126528.0,2016,34444,Asia
184,Yemen,2016,5.53,2506.0,29274010.0,2016,51064,Asia
185,Zambia,2016,6.34,3479.0,16767758.0,2016,38985,Africa
186,Zimbabwe,2016,5.640000000000001,1534.0,14452705.0,2016,27195,Africa
