,country,year,child_mortality,gdp_per_capita,population,continent
156,Peru,2016,1.5300000000000002,11776.0,31132776.0,South America
157,Philippines,2016,2.7100000000000004,7410.0,104875272.0,Asia
158,Poland,2016,0.47,24838.0,38532108.0,Europe
159,Portugal,2016,0.35,25346.0,10332751.0,Europe
160,Puerto Rico,2016,0.6479,35082.0,3432745.0,North America
161,Qatar,2016,0.8500000000000001,156299.0,2595175.0,Asia
162,Reunion,2016,0.4239,,926628.0,Africa
163,Romania,2016,0.9,17782.0,19797822.0,Europe
164,Russia,2016,0.77,23635.0,145109152.0,Europe
165,Rwanda,2016,3.85,1758.0,11930902.0,Africa
166,Saint Kitts and Nevis,2016,0.9300000000000002,,47814.0,North America
167,Saint Lucia,2016,1.33,10233.0,176429.0,North America
168,Saint Pierre and Miquelon,2016,,,5990.0,North America
169,Saint Vincent and the Grenadines,2016,1.66,,105971.0,North America
170,Samoa,2016,1.7300000000000002,,205559.0,Oceania
171,San Marino,2016,0.2799999999999999,,33860.0,Europe
172,Sao Tome and Principe,2016,3.38,3624.0,204640.0,Africa
173,Saudi Arabia,2016,1.29,51397.0,33416272.0,Asia
174,Senegal,2016,4.71,2403.0,14751356.0,Africa
175,Serbia,2016,0.58,13184.0,7493288.0,Europe
176,Seychelles,2016,1.4300000000000002,26624.0,100521.0,Africa
177,Sierra Leone,2016,11.35,1619.0,7493918.0,Africa
178,Singapore,2016,0.2799999999999999,65729.0,5711936.0,Asia
179,Slovakia,2016,0.5900000000000001,25364.0,5431205.0,Europe
180,Slovenia,2016,0.2299999999999999,26908.0,2090020.0,Europe
181,Solomon Islands,2016,2.58,,628110.0,Oceania
182,Somalia,2016,13.25,,14292848.0,Africa
183,South Africa,2016,4.33,12139.0,56422272.0,Africa
184,South Korea,2016,0.34,36103.0,51309984.0,Asia
185,South Sudan,2016,9.07,,11066116.0,Africa
186,Spain,2016,0.33,30110.0,46473316.0,Europe
187,Sri Lanka,2016,0.94,11149.0,21425494.0,Asia
188,Sudan,2016,6.51,,39377168.0,Africa
189,Suriname,2016,2.0,,581462.0,South America
190,Sweden,2016,0.29,44659.0,9953322.0,Europe
191,Switzerland,2016,0.41,59662.0,8372902.0,Europe
192,Syria,2016,1.9123,3091.0,18964252.0,Asia
193,Taiwan,2016,,42165.0,23594476.0,Asia
194,Tajikistan,2016,4.3100000000000005,3991.0,8725326.0,Asia
195,Tanzania,2016,5.670000000000001,2660.0,54401804.0,Africa
196,Thailand,2016,1.22,15454.0,70607032.0,Asia
