,continent,mortality_rate
204,Africa,22.98999938964844
205,Africa,22.78999938964844
206,Africa,22.6
207,Africa,22.460000610351564
208,Africa,22.380000305175784
209,Africa,22.330000305175783
210,Africa,22.28999938964844
211,Africa,22.280000305175783
212,Africa,22.260000610351565
213,Africa,22.26999969482422
214,Africa,22.26999969482422
215,Africa,22.25
216,Africa,22.16999969482422
217,Africa,22.0
218,Africa,21.73999938964844
219,Africa,21.380000305175784
220,Africa,20.960000610351564
221,Africa,20.43999938964844
222,Africa,19.83999938964844
223,Africa,19.15
224,Africa,18.38000030517578
225,Africa,17.510000610351565
226,Africa,16.610000610351562
227,Africa,15.639999389648438
228,Africa,14.7
229,Africa,13.76999969482422
230,Africa,12.86999969482422
231,Africa,12.040000152587892
232,Africa,11.25
233,Africa,10.50999984741211
234,Africa,9.85
