,country,year,life_stage,deaths
18090,Belarus,1990,Day 0-6,1030.0
18116,Belarus,2016,Day 0-6,226.0
18120,Belgium,1990,Day 0-6,436.0
18146,Belgium,2016,Day 0-6,186.0
18150,Belize,1990,Day 0-6,83.0
18176,Belize,2016,Day 0-6,52.0
18180,Benin,1990,Day 0-6,8298.0
18206,Benin,2016,Day 0-6,13200.0
18210,Bhutan,1990,Day 0-6,874.0
18236,Bhutan,2016,Day 0-6,289.0
18240,Bolivia,1990,Day 0-6,5362.0
18266,Bolivia,2016,Day 0-6,3976.0
18270,Bosnia and Herzegovina,1990,Day 0-6,758.0
18296,Bosnia and Herzegovina,2016,Day 0-6,43.0
18300,Botswana,1990,Day 0-6,913.0
18326,Botswana,2016,Day 0-6,897.0
18330,Brazil,1990,Day 0-6,68686.0
18356,Brazil,2016,Day 0-6,30864.0
18360,Brunei,1990,Day 0-6,30.0
18386,Brunei,2016,Day 0-6,25.0
18390,Bulgaria,1990,Day 0-6,558.0
18416,Bulgaria,2016,Day 0-6,171.0
18420,Burkina Faso,1990,Day 0-6,13429.0
18446,Burkina Faso,2016,Day 0-6,19217.0
18450,Burundi,1990,Day 0-6,7349.0
18476,Burundi,2016,Day 0-6,8111.0
18480,Cambodia,1990,Day 0-6,11946.0
18506,Cambodia,2016,Day 0-6,5767.0
18510,Cameroon,1990,Day 0-6,13313.0
18536,Cameroon,2016,Day 0-6,17677.0
18540,Canada,1990,Day 0-6,1487.0
18566,Canada,2016,Day 0-6,995.0
18570,Cape Verde,1990,Day 0-6,174.0
18596,Cape Verde,2016,Day 0-6,107.0
18600,Central African Republic,1990,Day 0-6,4539.0
18626,Central African Republic,2016,Day 0-6,5955.0
18630,Chad,1990,Day 0-6,9856.0
18656,Chad,2016,Day 0-6,18254.0
18660,Chile,1990,Day 0-6,2072.0
18686,Chile,2016,Day 0-6,836.0
18690,China,1990,Day 0-6,258699.0
18716,China,2016,Day 0-6,64575.0
18720,Colombia,1990,Day 0-6,13773.0
18746,Colombia,2016,Day 0-6,4449.0
18750,Comoros,1990,Day 0-6,730.0
18776,Comoros,2016,Day 0-6,451.0
18780,Congo,1990,Day 0-6,2268.0
18806,Congo,2016,Day 0-6,2528.0
18810,Cook Islands,1990,Day 0-6,4.0
18836,Cook Islands,2016,Day 0-6,0.0
18840,Costa Rica,1990,Day 0-6,610.0
18866,Costa Rica,2016,Day 0-6,325.0
18870,Cote d'Ivoire,1990,Day 0-6,17437.0
18896,Cote d'Ivoire,2016,Day 0-6,27248.0
18900,Croatia,1990,Day 0-6,328.0
18926,Croatia,2016,Day 0-6,81.0
18930,Cuba,1990,Day 0-6,885.0
18956,Cuba,2016,Day 0-6,194.0
18960,Cyprus,1990,Day 0-6,86.0
18986,Cyprus,2016,Day 0-6,22.0
18990,Czechia,1990,Day 0-6,662.0
19016,Czechia,2016,Day 0-6,134.0
19020,Democratic Republic of Congo,1990,Day 0-6,51704.0
19046,Democratic Republic of Congo,2016,Day 0-6,58891.0
19050,Denmark,1990,Day 0-6,226.0
19076,Denmark,2016,Day 0-6,125.0
19080,Djibouti,1990,Day 0-6,524.0
19106,Djibouti,2016,Day 0-6,672.0
19110,Dominica,1990,Day 0-6,17.0
19136,Dominica,2016,Day 0-6,11.0
19140,Dominican Republic,1990,Day 0-6,4566.0
19166,Dominican Republic,2016,Day 0-6,3472.0
19170,Ecuador,1990,Day 0-6,3816.0
19196,Ecuador,2016,Day 0-6,2283.0
19200,Egypt,1990,Day 0-6,37546.0
19226,Egypt,2016,Day 0-6,6283.0
19230,El Salvador,1990,Day 0-6,2448.0
19256,El Salvador,2016,Day 0-6,524.0
19260,Equatorial Guinea,1990,Day 0-6,732.0
19286,Equatorial Guinea,2016,Day 0-6,642.0
19290,Eritrea,1990,Day 0-6,3219.0
19316,Eritrea,2016,Day 0-6,3294.0
19320,Estonia,1990,Day 0-6,139.0
19346,Estonia,2016,Day 0-6,12.0
19350,Eswatini,1990,Day 0-6,623.0
19376,Eswatini,2016,Day 0-6,423.0
19380,Ethiopia,1990,Day 0-6,90101.0
19406,Ethiopia,2016,Day 0-6,81533.0
19410,Fiji,1990,Day 0-6,186.0
19436,Fiji,2016,Day 0-6,145.0
19440,Finland,1990,Day 0-6,202.0
19466,Finland,2016,Day 0-6,51.0
19470,France,1990,Day 0-6,2065.0
19496,France,2016,Day 0-6,1169.0
19500,Gabon,1990,Day 0-6,905.0
19526,Gabon,2016,Day 0-6,620.0
19530,Gambia,1990,Day 0-6,1417.0
19556,Gambia,2016,Day 0-6,1369.0
19560,Georgia,1990,Day 0-6,1556.0
19586,Georgia,2016,Day 0-6,240.0
19590,Germany,1990,Day 0-6,2568.0
19616,Germany,2016,Day 0-6,1333.0
19620,Ghana,1990,Day 0-6,18198.0
19646,Ghana,2016,Day 0-6,17516.0
19650,Greece,1990,Day 0-6,492.0
19676,Greece,2016,Day 0-6,169.0
19680,Grenada,1990,Day 0-6,23.0
19706,Grenada,2016,Day 0-6,11.0
19710,Guatemala,1990,Day 0-6,6157.0
19736,Guatemala,2016,Day 0-6,2274.0
19740,Guinea,1990,Day 0-6,13030.0
19766,Guinea,2016,Day 0-6,11152.0
19770,Guinea-Bissau,1990,Day 0-6,1911.0
19796,Guinea-Bissau,2016,Day 0-6,1774.0
19800,Guyana,1990,Day 0-6,625.0
19826,Guyana,2016,Day 0-6,206.0
19830,Haiti,1990,Day 0-6,5796.0
19856,Haiti,2016,Day 0-6,7237.0
19860,Honduras,1990,Day 0-6,2431.0
19886,Honduras,2016,Day 0-6,1796.0
19890,Hungary,1990,Day 0-6,1087.0
19916,Hungary,2016,Day 0-6,142.0
19920,Iceland,1990,Day 0-6,16.0
19946,Iceland,2016,Day 0-6,5.0
19950,India,1990,Day 0-6,887054.0
19976,India,2016,Day 0-6,532338.0
19980,Indonesia,1990,Day 0-6,97741.0
20006,Indonesia,2016,Day 0-6,50702.0
20010,Iran,1990,Day 0-6,40017.0
20036,Iran,2016,Day 0-6,10505.0
20040,Iraq,1990,Day 0-6,13808.0
20066,Iraq,2016,Day 0-6,8996.0
20070,Ireland,1990,Day 0-6,214.0
20096,Ireland,2016,Day 0-6,111.0
20100,Israel,1990,Day 0-6,493.0
20126,Israel,2016,Day 0-6,258.0
20130,Italy,1990,Day 0-6,2174.0
20156,Italy,2016,Day 0-6,634.0
20160,Jamaica,1990,Day 0-6,735.0
20186,Jamaica,2016,Day 0-6,392.0
20190,Japan,1990,Day 0-6,2335.0
20216,Japan,2016,Day 0-6,666.0
20220,Jordan,1990,Day 0-6,1871.0
20246,Jordan,2016,Day 0-6,1641.0
20250,Kazakhstan,1990,Day 0-6,2931.0
20276,Kazakhstan,2016,Day 0-6,1464.0
20280,Kenya,1990,Day 0-6,20297.0
20306,Kenya,2016,Day 0-6,21947.0
20310,Kiribati,1990,Day 0-6,45.0
20336,Kiribati,2016,Day 0-6,35.0
20340,Kuwait,1990,Day 0-6,307.0
20366,Kuwait,2016,Day 0-6,224.0
20370,Kyrgyzstan,1990,Day 0-6,2707.0
20396,Kyrgyzstan,2016,Day 0-6,1609.0
20400,Laos,1990,Day 0-6,6535.0
20426,Laos,2016,Day 0-6,3105.0
20430,Latvia,1990,Day 0-6,216.0
20456,Latvia,2016,Day 0-6,37.0
20460,Lebanon,1990,Day 0-6,1493.0
20486,Lebanon,2016,Day 0-6,438.0
20490,Lesotho,1990,Day 0-6,2150.0
20516,Lesotho,2016,Day 0-6,1220.0
20520,Liberia,1990,Day 0-6,3332.0
20546,Liberia,2016,Day 0-6,2814.0
20550,Libya,1990,Day 0-6,2487.0
20576,Libya,2016,Day 0-6,387.0
20580,Lithuania,1990,Day 0-6,309.0
20606,Lithuania,2016,Day 0-6,47.0
20610,Luxembourg,1990,Day 0-6,16.0
20636,Luxembourg,2016,Day 0-6,7.0
20640,Madagascar,1990,Day 0-6,12521.0
20666,Madagascar,2016,Day 0-6,16500.0
20670,Malawi,1990,Day 0-6,14670.0
20696,Malawi,2016,Day 0-6,11764.0
20700,Malaysia,1990,Day 0-6,3434.0
20726,Malaysia,2016,Day 0-6,1542.0
20730,Maldives,1990,Day 0-6,204.0
20756,Maldives,2016,Day 0-6,85.0
20760,Mali,1990,Day 0-6,20992.0
20786,Mali,2016,Day 0-6,30081.0
20790,Malta,1990,Day 0-6,30.0
20816,Malta,2016,Day 0-6,15.0
20820,Marshall Islands,1990,Day 0-6,18.0
20846,Marshall Islands,2016,Day 0-6,10.0
20850,Mauritania,1990,Day 0-6,3010.0
20876,Mauritania,2016,Day 0-6,2317.0
20880,Mauritius,1990,Day 0-6,269.0
20906,Mauritius,2016,Day 0-6,76.0
20910,Mexico,1990,Day 0-6,37128.0
20936,Mexico,2016,Day 0-6,12887.0
20940,Micronesia (country),1990,Day 0-6,43.0
20966,Micronesia (country),2016,Day 0-6,10.0
20970,Moldova,1990,Day 0-6,855.0
20996,Moldova,2016,Day 0-6,260.0
21000,Monaco,1990,Day 0-6,1.0
21026,Monaco,2016,Day 0-6,0.0
21030,Mongolia,1990,Day 0-6,1434.0
21056,Mongolia,2016,Day 0-6,727.0
21060,Montenegro,1990,Day 0-6,83.0
21086,Montenegro,2016,Day 0-6,13.0
21090,Morocco,1990,Day 0-6,17936.0
21116,Morocco,2016,Day 0-6,6570.0
21120,Mozambique,1990,Day 0-6,20436.0
21146,Mozambique,2016,Day 0-6,24888.0
21150,Myanmar,1990,Day 0-6,43084.0
21176,Myanmar,2016,Day 0-6,20928.0
21180,Namibia,1990,Day 0-6,1074.0
21206,Namibia,2016,Day 0-6,906.0
21210,Nauru,1990,Day 0-6,4.0
21236,Nauru,2016,Day 0-6,3.0
21240,Nepal,1990,Day 0-6,31548.0
21266,Nepal,2016,Day 0-6,11174.0
21270,Netherlands,1990,Day 0-6,743.0
21296,Netherlands,2016,Day 0-6,327.0
21300,New Zealand,1990,Day 0-6,248.0
21326,New Zealand,2016,Day 0-6,122.0
21330,Nicaragua,1990,Day 0-6,2173.0
21356,Nicaragua,2016,Day 0-6,723.0
21360,Niger,1990,Day 0-6,11741.0
21386,Niger,2016,Day 0-6,21408.0
21390,Nigeria,1990,Day 0-6,150338.0
21416,Nigeria,2016,Day 0-6,230545.0
21420,Niue,1990,Day 0-6,0.0
21446,Niue,2016,Day 0-6,0.0
21450,North Korea,1990,Day 0-6,12381.0
21476,North Korea,2016,Day 0-6,2596.0
21480,North Macedonia,1990,Day 0-6,482.0
21506,North Macedonia,2016,Day 0-6,137.0
21510,Norway,1990,Day 0-6,206.0
21536,Norway,2016,Day 0-6,66.0
21540,Oman,1990,Day 0-6,868.0
21566,Oman,2016,Day 0-6,367.0
21570,Pakistan,1990,Day 0-6,215752.0
21596,Pakistan,2016,Day 0-6,238841.0
21600,Palau,1990,Day 0-6,4.0
21626,Palau,2016,Day 0-6,1.0
21630,Palestine,1990,Day 0-6,1162.0
21656,Palestine,2016,Day 0-6,661.0
21660,Panama,1990,Day 0-6,486.0
21686,Panama,2016,Day 0-6,384.0
21690,Papua New Guinea,1990,Day 0-6,2708.0
21716,Papua New Guinea,2016,Day 0-6,4506.0
21720,Paraguay,1990,Day 0-6,1598.0
21746,Paraguay,2016,Day 0-6,627.0
21750,Peru,1990,Day 0-6,11706.0
21776,Peru,2016,Day 0-6,4854.0
21780,Philippines,1990,Day 0-6,29893.0
21806,Philippines,2016,Day 0-6,24571.0
21810,Poland,1990,Day 0-6,4120.0
21836,Poland,2016,Day 0-6,675.0
21840,Portugal,1990,Day 0-6,677.0
21866,Portugal,2016,Day 0-6,124.0
21870,Qatar,1990,Day 0-6,111.0
21896,Qatar,2016,Day 0-6,88.0
21900,Romania,1990,Day 0-6,1708.0
21926,Romania,2016,Day 0-6,544.0
21930,Russia,1990,Day 0-6,16772.0
21956,Russia,2016,Day 0-6,4594.0
21960,Rwanda,1990,Day 0-6,9287.0
21986,Rwanda,2016,Day 0-6,5701.0
21990,Saint Kitts and Nevis,1990,Day 0-6,16.0
22016,Saint Kitts and Nevis,2016,Day 0-6,6.0
22020,Saint Lucia,1990,Day 0-6,45.0
22046,Saint Lucia,2016,Day 0-6,18.0
22050,Saint Vincent and the Grenadines,1990,Day 0-6,39.0
22076,Saint Vincent and the Grenadines,2016,Day 0-6,12.0
22080,Samoa,1990,Day 0-6,39.0
22106,Samoa,2016,Day 0-6,17.0
22110,San Marino,1990,Day 0-6,1.0
22136,San Marino,2016,Day 0-6,1.0
22140,Sao Tome and Principe,1990,Day 0-6,66.0
22166,Sao Tome and Principe,2016,Day 0-6,50.0
22170,Saudi Arabia,1990,Day 0-6,7113.0
22196,Saudi Arabia,2016,Day 0-6,1062.0
22200,Senegal,1990,Day 0-6,8653.0
22226,Senegal,2016,Day 0-6,9741.0
22230,Serbia,1990,Day 0-6,1549.0
22256,Serbia,2016,Day 0-6,175.0
22260,Seychelles,1990,Day 0-6,17.0
22286,Seychelles,2016,Day 0-6,9.0
22290,Sierra Leone,1990,Day 0-6,7086.0
22316,Sierra Leone,2016,Day 0-6,6344.0
22320,Singapore,1990,Day 0-6,157.0
22346,Singapore,2016,Day 0-6,40.0
22350,Slovakia,1990,Day 0-6,441.0
22376,Slovakia,2016,Day 0-6,120.0
22380,Slovenia,1990,Day 0-6,100.0
22406,Slovenia,2016,Day 0-6,18.0
22410,Solomon Islands,1990,Day 0-6,217.0
22436,Solomon Islands,2016,Day 0-6,198.0
22440,Somalia,1990,Day 0-6,9089.0
22466,Somalia,2016,Day 0-6,17969.0
22470,South Africa,1990,Day 0-6,19375.0
22496,South Africa,2016,Day 0-6,19418.0
22500,South Korea,1990,Day 0-6,2574.0
22526,South Korea,2016,Day 0-6,423.0
22530,South Sudan,1990,Day 0-6,8020.0
22556,South Sudan,2016,Day 0-6,9298.0
22560,Spain,1990,Day 0-6,1457.0
22586,Spain,2016,Day 0-6,493.0
22590,Sri Lanka,1990,Day 0-6,4001.0
22616,Sri Lanka,2016,Day 0-6,1180.0
22620,Sudan,1990,Day 0-6,34593.0
22646,Sudan,2016,Day 0-6,23005.0
22650,Suriname,1990,Day 0-6,206.0
22676,Suriname,2016,Day 0-6,135.0
22680,Sweden,1990,Day 0-6,340.0
22706,Sweden,2016,Day 0-6,134.0
22710,Switzerland,1990,Day 0-6,289.0
22736,Switzerland,2016,Day 0-6,212.0
22740,Syria,1990,Day 0-6,10089.0
22766,Syria,2016,Day 0-6,1696.0
22770,Tajikistan,1990,Day 0-6,3562.0
22796,Tajikistan,2016,Day 0-6,3298.0
22800,Tanzania,1990,Day 0-6,31925.0
22826,Tanzania,2016,Day 0-6,42576.0
22830,Thailand,1990,Day 0-6,11457.0
22856,Thailand,2016,Day 0-6,1952.0
22860,Timor,1990,Day 0-6,842.0
22886,Timor,2016,Day 0-6,558.0
22890,Togo,1990,Day 0-6,5547.0
22916,Togo,2016,Day 0-6,5575.0
22920,Tonga,1990,Day 0-6,24.0
22946,Tonga,2016,Day 0-6,12.0
22950,Trinidad and Tobago,1990,Day 0-6,326.0
22976,Trinidad and Tobago,2016,Day 0-6,121.0
22980,Tunisia,1990,Day 0-6,4027.0
23006,Tunisia,2016,Day 0-6,874.0
23010,Turkey,1990,Day 0-6,38150.0
23036,Turkey,2016,Day 0-6,8491.0
23040,Turkmenistan,1990,Day 0-6,2153.0
23066,Turkmenistan,2016,Day 0-6,1359.0
23070,Tuvalu,1990,Day 0-6,5.0
23096,Tuvalu,2016,Day 0-6,1.0
23100,Uganda,1990,Day 0-6,24473.0
23126,Uganda,2016,Day 0-6,36651.0
23130,Ukraine,1990,Day 0-6,6185.0
23156,Ukraine,2016,Day 0-6,1802.0
23160,United Arab Emirates,1990,Day 0-6,407.0
23186,United Arab Emirates,2016,Day 0-6,144.0
23190,United Kingdom,1990,Day 0-6,2986.0
23216,United Kingdom,2016,Day 0-6,1559.0
23220,United States,1990,Day 0-6,19926.0
23246,United States,2016,Day 0-6,12283.0
23250,Uruguay,1990,Day 0-6,605.0
23276,Uruguay,2016,Day 0-6,188.0
23280,Uzbekistan,1990,Day 0-6,10615.0
23306,Uzbekistan,2016,Day 0-6,6469.0
23310,Vanuatu,1990,Day 0-6,72.0
23336,Vanuatu,2016,Day 0-6,69.0
23340,Venezuela,1990,Day 0-6,6621.0
23366,Venezuela,2016,Day 0-6,3739.0
23370,Vietnam,1990,Day 0-6,29753.0
23396,Vietnam,2016,Day 0-6,8929.0
23400,World,1990,Day 0-6,3026068.0
23426,World,2016,Day 0-6,2141850.0
23430,Yemen,1990,Day 0-6,19544.0
23456,Yemen,2016,Day 0-6,18034.0
23460,Zambia,1990,Day 0-6,7980.0
23486,Zambia,2016,Day 0-6,10616.0
23490,Zimbabwe,1990,Day 0-6,6717.0
23516,Zimbabwe,2016,Day 0-6,8626.0
